duration,total_ram,free_ram,total_disk,free_disk,processor
108.0,32.0,10.33,256.0,77.75,amd ryzen 5
25.0,32.0,14.23,256.0,219.86,amd ryzen 7
165.0,16.0,6.11,512.0,285.18,amd ryzen 5
134.0,32.0,14.46,512.0,317.35,amd ryzen 3
,32.0,14.59,256.0,238.24,intel i5
114.0,16.0,6.55,512.0,255.31,intel i7
151.0,32.0,10.53,256.0,138.9,intel i5
105.0,16.0,7.69,256.0,246.0,intel i7
114.0,16.0,7.17,256.0,15.06,amd ryzen 7
103.0,16.0,8.19,512.0,314.4,intel i7
79.0,16.0,9.35,512.0,196.19,amd ryzen 7
42.0,32.0,11.66,512.0,252.21,amd ryzen 7
153.0,16.0,5.98,512.0,188.22,intel i7
272.0,16.0,4.55,256.0,151.58,amd ryzen 3
136.0,16.0,8.29,512.0,377.2,amd ryzen 5
184.0,32.0,12.66,256.0,44.3,intel i3
67.0,32.0,14.16,,311.09,amd ryzen 5
86.0,16.0,6.73,512.0,,amd ryzen 7
101.0,16.0,8.66,512.0,279.97,amd ryzen 7
198.0,16.0,5.98,512.0,208.88,intel i5
105.0,16.0,8.02,512.0,262.67,intel i7
188.0,16.0,6.32,256.0,126.01,intel i5
193.0,16.0,7.61,256.0,99.93,intel i5
186.0,16.0,4.77,256.0,43.89,amd ryzen 5
216.0,16.0,9.76,256.0,160.13,intel i3
75.0,16.0,10.49,256.0,192.78,intel i7
234.0,16.0,9.57,256.0,61.38,intel i3
,32.0,13.41,256.0,89.8,amd ryzen 7
262.0,16.0,8.11,512.0,305.11,intel i3
201.0,16.0,9.16,256.0,191.63,amd ryzen 3
170.0,16.0,8.83,256.0,99.85,intel i5
222.0,16.0,8.6,512.0,324.28,intel i3
118.0,16.0,6.8,256.0,246.0,intel i7
183.0,16.0,6.64,512.0,360.83,intel i5
171.0,16.0,7.62,512.0,288.34,amd ryzen 5
209.0,32.0,11.2,512.0,356.4,intel i3
255.0,16.0,8.87,512.0,183.0,intel i3
119.0,16.0,5.52,512.0,111.74,amd ryzen 7
161.0,16.0,6.95,512.0,360.49,amd ryzen 5
150.0,16.0,8.91,256.0,95.61,amd ryzen 5
132.0,16.0,4.18,512.0,271.81,amd ryzen 7
25.0,32.0,16.88,256.0,122.35,amd ryzen 7
146.0,16.0,9.47,256.0,135.33,intel i5
25.0,32.0,13.94,256.0,61.74,amd ryzen 7
133.0,16.0,7.78,256.0,152.94,amd ryzen 5
196.0,32.0,13.01,512.0,337.17,intel i3
181.0,16.0,9.51,256.0,154.37,amd ryzen 3
101.0,32.0,16.43,256.0,173.86,intel i5
68.0,16.0,8.99,256.0,10.0,amd ryzen 7
206.0,32.0,12.03,512.0,221.47,amd ryzen 3
150.0,16.0,5.52,512.0,334.49,intel i7
93.0,32.0,10.49,512.0,370.15,intel i7
269.0,16.0,2.84,512.0,502.0,amd ryzen 3
190.0,16.0,4.98,512.0,305.59,amd ryzen 5
161.0,16.0,7.79,256.0,97.27,amd ryzen 5
62.0,32.0,16.8,256.0,70.18,amd ryzen 5
104.0,16.0,5.36,512.0,354.6,amd ryzen 7
97.0,32.0,14.56,256.0,62.1,intel i5
94.0,16.0,7.08,512.0,179.7,amd ryzen 7
181.0,16.0,,512.0,273.51,amd ryzen 3
135.0,16.0,5.57,256.0,168.75,intel i7
289.0,,3.98,256.0,136.35,amd ryzen 3
59.0,32.0,12.73,256.0,136.26,intel i7
25.0,32.0,19.74,256.0,87.04,amd ryzen 7
187.0,16.0,4.52,256.0,124.72,amd ryzen 5
166.0,16.0,3.65,256.0,119.84,amd ryzen 7
175.0,16.0,8.22,256.0,144.97,intel i5
141.0,16.0,10.85,256.0,112.8,intel i5
168.0,16.0,3.11,256.0,148.25,intel i7
25.0,32.0,16.94,512.0,260.86,amd ryzen 7
139.0,16.0,5.09,256.0,166.44,intel i7
53.0,32.0,16.43,512.0,306.16,amd ryzen 5
34.0,32.0,13.76,512.0,310.14,amd ryzen 7
111.0,32.0,15.04,256.0,147.81,intel i5
213.0,16.0,9.39,512.0,344.29,amd ryzen 3
168.0,,6.6,512.0,285.98,intel i5
117.0,16.0,9.43,256.0,202.41,amd ryzen 5
92.0,16.0,8.43,256.0,127.2,intel i7
244.0,16.0,5.4,256.0,10.0,amd ryzen 3
25.0,32.0,16.7,512.0,427.63,intel i7
143.0,16.0,7.88,512.0,277.76,amd ryzen 5
