duration,total_ram,free_ram,total_disk,free_disk,processor
107,16.0,5.82,512.0,304.88,amd ryzen 7
203,16.0,7.59,512.0,330.48,intel i5
52,32.0,14.66,512.0,255.51,intel i7
224,16.0,5.13,512.0,434.26,intel i5
130,32.0,14.87,512.0,264.77,amd ryzen 3
183,16.0,6.72,512.0,346.97,amd ryzen 5
38,32.0,18.72,256.0,59.95,intel i5
130,16.0,9.21,512.0,219.63,amd ryzen 5
161,32.0,14.72,256.0,246.0,amd ryzen 3
247,16.0,5.27,512.0,318.89,amd ryzen 3
231,16.0,10.6,256.0,10.0,intel i3
252,16.0,5.66,512.0,252.75,amd ryzen 3
197,32.0,10.07,256.0,148.59,amd ryzen 3
167,32.0,14.08,512.0,229.92,intel i3
161,32.0,15.02,256.0,188.42,intel i3
130,32.0,15.67,512.0,390.35,amd ryzen 3
194,16.0,5.64,512.0,381.13,amd ryzen 5
123,16.0,4.89,512.0,257.91,amd ryzen 7
131,16.0,7.44,512.0,376.17,intel i7
281,16.0,6.84,256.0,147.46,intel i3
262,16.0,6.84,256.0,246.0,intel i3
77,16.0,11.47,256.0,226.12,intel i7
168,32.0,13.37,512.0,261.39,amd ryzen 3
145,16.0,7.75,256.0,104.35,amd ryzen 5
82,32.0,14.76,256.0,246.0,intel i5
113,16.0,7.88,256.0,214.29,intel i7
109,32.0,14.85,256.0,152.16,intel i5
100,16.0,9.75,256.0,185.33,intel i7
237,32.0,9.27,256.0,240.77,intel i3
51,32.0,12.2,512.0,274.19,amd ryzen 7
263,16.0,5.75,256.0,70.35,intel i3
139,32.0,17.05,256.0,177.13,amd ryzen 3
123,16.0,10.55,256.0,246.0,amd ryzen 5
127,16.0,6.91,512.0,230.44,intel i7
155,16.0,2.73,256.0,246.0,intel i7
98,16.0,9.33,512.0,150.71,intel i7
248,32.0,14.69,512.0,291.51,amd ryzen 3
83,16.0,8.74,256.0,117.65,amd ryzen 7
84,32.0,14.88,256.0,65.6,amd ryzen 5
194,16.0,5.53,512.0,158.86,intel i5
144,32.0,14.41,256.0,179.06,amd ryzen 3
